GameNum,Turn,AgentUsed,Move,Time(s),Nodes
1,1,alpha-beta,0,0.2723,1307
1,3,alpha-beta,1,0.6489,3180
1,5,alpha-beta,4,0.6251,3149
1,7,alpha-beta,5,0.9588,4737
1,9,alpha-beta,3,1.0342,5127
1,11,alpha-beta,3,0.8021,3942
1,13,alpha-beta,0,1.0467,5238
1,15,alpha-beta,4,0.5093,2673
1,17,alpha-beta,0,0.0445,213
1,19,alpha-beta,0,0.0003,2
2,1,alpha-beta,2,0.3844,1873
2,3,alpha-beta,2,0.6010,2984
2,5,alpha-beta,3,0.5698,2895
2,7,alpha-beta,1,0.2200,1114
2,9,alpha-beta,0,0.0003,2
3,1,alpha-beta,1,0.2621,1310
3,3,alpha-beta,0,0.3115,1542
3,5,alpha-beta,2,0.4888,2486
3,7,alpha-beta,0,0.7090,3566
3,9,alpha-beta,2,0.5268,2658
3,11,alpha-beta,3,0.2623,1402
3,13,alpha-beta,2,0.2501,1292
3,15,alpha-beta,2,0.0081,56
4,1,alpha-beta,2,0.5302,2639
4,3,alpha-beta,0,0.4044,2006
4,5,alpha-beta,0,0.3801,1904
4,7,alpha-beta,0,0.1562,755
4,9,alpha-beta,0,0.0004,2
5,1,alpha-beta,3,0.4399,2195
5,3,alpha-beta,0,0.4613,2225
5,5,alpha-beta,4,0.5685,2778
5,7,alpha-beta,1,0.2235,1171
5,9,alpha-beta,1,0.0953,525
5,11,alpha-beta,2,0.1729,900
5,13,alpha-beta,0,0.0631,316
5,15,alpha-beta,0,0.0195,143
5,17,alpha-beta,0,0.0269,144
5,19,alpha-beta,2,0.0209,87
6,1,minimax,0,4.3318,19608
6,3,minimax,3,4.1986,19188
6,5,minimax,4,4.1114,18767
6,7,minimax,1,4.2774,19606
6,9,minimax,1,4.2563,19504
6,11,minimax,0,4.0608,18676
6,13,minimax,4,3.5206,16271
6,15,minimax,0,2.7010,13156
6,17,minimax,1,1.3870,6884
6,19,minimax,2,0.6811,3437
6,21,minimax,2,0.3305,1808
7,1,minimax,3,4.2795,19608
7,3,minimax,1,4.1807,19187
7,5,minimax,0,4.2803,19576
7,7,minimax,1,3.9688,18511
7,9,minimax,1,2.8969,14158
7,11,minimax,0,2.0480,10333
7,13,minimax,0,2.8460,13792
7,15,minimax,0,1.6437,8290
8,1,minimax,3,4.2774,19608
8,3,minimax,0,4.1770,19187
8,5,minimax,4,4.1178,18934
8,7,minimax,3,4.2216,19353
8,9,minimax,3,4.1186,18998
8,11,minimax,6,3.6142,16558
8,13,minimax,3,3.5863,16482
8,15,minimax,4,1.9235,8938
8,17,minimax,2,1.7912,8418
8,19,minimax,1,1.0660,5173
9,1,minimax,2,4.2909,19608
9,3,minimax,2,4.2561,19608
9,5,minimax,1,4.0577,18865
9,7,minimax,3,3.7978,17961
9,9,minimax,0,4.0775,19025
9,11,minimax,0,4.2196,19474
9,13,minimax,0,2.9157,14031
9,15,minimax,0,1.7859,8926
10,1,minimax,2,4.2761,19608
10,3,minimax,1,3.9841,18347
10,5,minimax,2,4.2053,19186
10,7,minimax,4,3.3143,15431
10,9,minimax,3,4.1274,18999
10,11,minimax,1,4.0322,18717
10,13,minimax,2,3.7487,17904
10,15,minimax,0,1.7971,9393
10,17,minimax,0,1.4075,7509
10,19,minimax,0,1.2180,6425
11,1,minimax,1,4.2821,19608
11,3,minimax,1,4.1738,19188
11,5,minimax,2,4.0804,18865
11,7,minimax,3,3.2922,15455
11,9,minimax,1,3.6629,17708
11,11,minimax,3,3.5817,17152
11,13,minimax,0,2.7472,13598
12,1,minimax,2,4.2865,19608
12,3,minimax,1,3.9759,18347
12,5,minimax,3,4.1726,19187
12,7,minimax,2,4.1967,19185
12,9,minimax,1,3.8160,17891
12,11,minimax,4,2.0961,10298
13,1,minimax,0,4.2897,19608
13,3,minimax,1,4.1786,19187
13,5,minimax,5,4.0730,18767
13,7,minimax,3,4.2745,19606
13,9,minimax,5,4.2423,19518
13,11,minimax,5,4.0716,18760
13,13,minimax,3,3.4316,15955
13,15,minimax,0,2.8120,13330
13,17,minimax,0,2.7165,12709
13,19,minimax,0,0.9516,4700
14,1,minimax,1,4.2700,19608
14,3,minimax,2,4.2661,19607
14,5,minimax,3,4.0358,18836
14,7,minimax,3,4.0915,18759
14,9,minimax,0,4.1397,18904
14,11,minimax,3,4.1919,19118
14,13,minimax,0,2.7799,13329
14,15,minimax,2,2.6637,12269
14,17,minimax,1,2.3541,11201
15,1,minimax,2,4.2669,19608
15,3,minimax,3,4.1343,19188
15,5,minimax,1,4.0489,18936
15,7,minimax,4,3.0790,14791
16,1,minimax,2,4.2821,19608
16,3,minimax,3,4.0778,18767
16,5,minimax,3,4.2749,19576
16,7,minimax,1,4.0428,19057
16,9,minimax,1,3.8380,18160
16,11,minimax,0,2.6411,13134
17,1,minimax,2,4.2803,19608
17,3,minimax,3,4.1627,19188
17,5,minimax,0,3.9856,18697
17,7,minimax,1,2.9693,14321
18,1,minimax,3,4.2831,19608
18,3,minimax,4,4.0676,18767
18,5,minimax,0,4.1713,19187
18,7,minimax,2,4.1859,19185
18,9,minimax,2,4.1782,19259
18,11,minimax,1,3.5719,17037
18,13,minimax,1,2.4252,12027
19,1,minimax,3,4.2829,19608
19,3,minimax,1,4.1759,19187
19,5,minimax,4,4.0777,18767
19,7,minimax,0,4.2188,19354
19,9,minimax,1,4.1741,19283
19,11,minimax,1,3.9684,18628
19,13,minimax,2,3.8450,18061
19,15,minimax,0,2.7224,13312
19,17,minimax,2,2.1545,10677
20,1,minimax,1,4.2912,19608
20,3,minimax,3,4.0678,18767
20,5,minimax,2,4.2757,19607
20,7,minimax,3,4.2085,19463
20,9,minimax,1,3.6601,17894
20,11,minimax,3,3.6044,17483
20,13,minimax,0,1.8857,9738
21,1,minimax,1,4.2907,19608
21,3,minimax,3,4.0790,18767
21,5,minimax,2,4.2631,19607
21,7,minimax,1,4.2065,19297
21,9,minimax,4,3.2748,15356
21,11,minimax,0,3.9814,18301
21,13,minimax,3,3.2460,15301
21,15,minimax,0,2.1666,10692
22,1,minimax,1,4.2672,19608
22,3,minimax,0,4.1900,19187
22,5,minimax,3,4.1888,19155
22,7,minimax,0,4.2489,19519
22,9,minimax,0,4.1242,19158
22,11,minimax,0,2.9968,14410
23,1,minimax,2,4.2730,19608
23,3,minimax,3,4.1766,19355
23,5,minimax,1,3.7694,17940
23,7,minimax,0,2.9709,14335
24,1,minimax,2,4.2741,19608
24,3,minimax,3,4.2481,19607
24,5,minimax,0,4.0418,18935
24,7,minimax,1,3.0310,14510
25,1,minimax,1,4.2778,19608
25,3,minimax,1,4.2813,19607
25,5,minimax,2,4.0717,18840
25,7,minimax,4,3.3093,15432
25,9,minimax,1,4.0757,19000
25,11,minimax,1,2.8542,13746
26,1,minimax,3,4.2673,19608
26,3,minimax,4,4.0659,18767
26,5,minimax,0,4.1742,19187
26,7,minimax,4,4.2706,19576
26,9,minimax,5,4.1288,19257
26,11,minimax,5,3.7593,18079
26,13,minimax,1,3.6073,17486
26,15,minimax,1,3.5869,17424
26,17,minimax,0,2.6584,13279
26,19,minimax,1,2.5656,12890
26,21,minimax,1,0.8225,4703
27,1,minimax,2,4.2829,19608
27,3,minimax,3,4.2382,19607
27,5,minimax,1,4.0605,18935
27,7,minimax,4,3.0473,14580
28,1,minimax,0,4.2694,19608
28,3,minimax,0,4.1762,19187
28,5,minimax,2,3.3002,15432
28,7,minimax,1,4.1447,19126
28,9,minimax,1,3.3238,15330
28,11,minimax,1,3.9686,18369
28,13,minimax,1,2.3566,11503
29,1,minimax,1,4.2684,19608
29,3,minimax,0,4.1570,19188
29,5,minimax,0,4.1876,19188
29,7,minimax,3,3.2969,15456
29,9,minimax,4,4.1800,19270
29,11,minimax,6,4.1210,19016
29,13,minimax,6,4.0668,18912
29,15,minimax,4,3.3145,15661
29,17,minimax,3,3.1135,14781
29,19,minimax,0,2.6310,12695
29,21,minimax,0,2.6522,12598
29,23,minimax,1,1.0695,5285
29,25,minimax,1,0.3869,2118
29,27,minimax,1,0.0837,484
30,1,minimax,0,4.2733,19608
30,3,minimax,0,4.1408,19188
30,5,minimax,5,3.9771,18619
30,7,minimax,4,4.0480,18891
30,9,minimax,2,4.2250,19410
30,11,minimax,2,3.9053,18292
30,13,minimax,1,3.6894,17475
30,15,minimax,3,1.9870,9839
31,1,minimax,0,4.2643,19608
31,3,minimax,0,4.2844,19608
31,5,minimax,3,4.0761,18865
31,7,minimax,0,4.1129,19025
31,9,minimax,0,2.4877,11961
32,1,minimax,2,4.2691,19608
32,3,minimax,3,4.1151,19188
32,5,minimax,1,3.7739,18039
32,7,minimax,0,2.0713,10534
33,1,minimax,2,4.2851,19608
33,3,minimax,0,4.2767,19607
33,5,minimax,0,4.2875,19576
33,7,minimax,0,3.9786,18427
33,9,minimax,0,2.4781,11958
34,1,minimax,2,4.2770,19608
34,3,minimax,0,4.2881,19607
34,5,minimax,4,4.0770,18767
34,7,minimax,3,4.2745,19576
34,9,minimax,4,3.9829,18791
